CAS,Name,Normalized_Name
882-33-7,Diphenyl disulfide,diphenyl disulfide
90-00-6,o-ethylphenol,o-ethylphenol
90-12-0,1-methylnaphthalene,1-methylnaphthalene
91-20-3,Naphthalene,naphthalene
91-57-6,2-methylnaphthalene,2-methylnaphthalene
919-94-8,Ethyl tert-pentyl ether,ethyl tert-pentyl ether
92-52-4,Biphenyl,biphenyl
93-89-0,Ethyl benzoate,ethyl benzoate
934-80-5,4-ethyl-o-xylene,4-ethyl-o-xylene
94-36-0,Benzoyl peroxide,benzoyl peroxide
95-13-6,Indene,indene
95-15-8,Benzothiophene,benzothiophene
95-47-6,O-xylene,o-xylene
95-48-7,O-cresol,o-cresol
95-50-1,O-dichlorobenzene,o-dichlorobenzene
95-63-6,"1,2,4-trimethylbenzene","1,2,4-trimethylbenzene"
95-65-8,"3,4-xylenol","3,4-xylenol"
95-87-4,"2,5-xylenol","2,5-xylenol"
95-93-2,"1,2,4,5-tetramethylbenzene","1,2,4,5-tetramethylbenzene"
96-14-0,3-methylpentane,3-methylpentane
96-22-0,3-pentanone,3-pentanone
96-37-7,Methylcyclopentane,methylcyclopentane
96-49-1,Ethylene carbonate,ethylene carbonate
98-01-1,Furfural,furfural
98-06-6,Tert-butylbenzene,tert-butylbenzene
98-49-7,P-diisopropylbenzene hydroperoxide,p-diisopropylbenzene hydroperoxide
98-55-5,Alpha-terpineol,alpha-terpineol
98-82-8,Cumene,cumene
98-95-3,Nitrobenzene,nitrobenzene
99-08-1,M-nitrotoluene,m-nitrotoluene
99-86-5,Alpha-terpinene,alpha-terpinene
99-87-6,P-cymene,p-cymene
99-94-5,P-toluic acid,p-toluic acid
99-99-0,P-nitrotoluene,p-nitrotoluene
994-05-8,Methyl tert-pentyl ether,methyl tert-pentyl ether
1333-74-0o,ortho-Hydrogen,ortho-hydrogen
1333-74-0p,para-Hydrogen,para-hydrogen
