T_K,P_bar,y_CH4,y_H2O,y_CO,y_CO2,y_H2
850.0,5.0,0.21459444037423703,0.4342502625598857,0.013427681875647088,0.06220677134789504,0.2755208438423352
850.0,10.0,0.2300408584763468,0.49343408282212164,0.007957222008868116,0.047793291968082706,0.22077454472458063
850.0,15.0,0.2523432821404679,0.5105961318536412,0.006073073879932759,0.042562987547075194,0.1884245245788828
900.0,5.0,0.18234759720274218,0.38670061370063097,0.02812874207529428,0.0653666502739227,0.3374563967474098
900.0,10.0,0.22025314875329693,0.4358046190362235,0.016857421020536487,0.05428951993626511,0.2727952912536781
900.0,15.0,0.23164733678030192,0.45820640914194777,0.012980632121279706,0.051410755091918746,0.24575486686455192
950.0,5.0,0.1384337613993555,0.34725663232970094,0.04699975470091652,0.061679950300164356,0.40562990126986276
950.0,10.0,0.1754206260926331,0.3982155604695537,0.029701270250109612,0.0580730531201165,0.3385894900675872
950.0,15.0,0.2059238426812378,0.42926549118457996,0.024064755557342284,0.05589666230591415,0.2848492482709257
1000.0,5.0,0.1084979020452821,0.29502760473828976,0.07983032999175717,0.06248550883313626,0.45415865439153463
1000.0,10.0,0.14824477666879166,0.34110810510801964,0.05041508282402503,0.05962609060605081,0.40060594479311296
1000.0,15.0,0.1741476714999509,0.36986982195888995,0.04021679806077496,0.057208420151674745,0.35855728832870937
1050.0,5.0,0.07209685595802194,0.24847203166383322,0.10012956153140905,0.049719259521998294,0.5295822913247376
1050.0,10.0,0.11940938142366433,0.30600109936139047,0.0795054288085133,0.054916650818992725,0.4401674395874392
1050.0,15.0,0.14192961636188875,0.3600474473952621,0.06328442833716688,0.057432709880697215,0.37730579802498504
